Geldanamycin,Tanespimycin
46153349.3333333,72973707.5
310231382.333333,135719555.0
155058610.0,69379121.1666667
10763786.6,2645411.0
229830399.166667,144216067.5
403551980.333333,276772838.0
15242041.0,12056113.0
507521399.0,289766070.333333
18856356.6666667,9277176.66666667
,10015635.3333333
232545538.833333,170912744.666667
9719868.0,8746377.33333333
,10214528.0
18931065.6666667,17483261.6666667
1023141703.0,775289196.5
2147289079.0,1818505678.5
28477608.5,20919876.1666667
4249356.0,
1185827890.33333,738020495.5
1739857678.33333,1206702764.5
245889513.166667,166538252.333333
173721827.333333,148684431.5
1221001037.33333,864033046.833333
84815567.5,49331015.5
106561095.5,67863583.5
479588247.833333,231188261.333333
171085290.833333,109813706.333333
17419608.5,15187344.6666667
48835058.1666667,41801509.0
33744376.3333333,36813646.5
31430634.6666667,23317334.0
,
192551688.0,127623464.333333
0.0,9905873.33333333
16889911.0,16092224.6666667
361605307.833333,206595159.333333
10298996.0,9369720.0
111068072.666667,60486602.6666667
1156025984.83333,701734080.166667
512399387.666667,254491635.666667
10072512.0,
7972859.2,5493668.66666667
,
231839404.0,168636730.333333
124135457.333333,117660207.5
20363682.8,
98217546.6666667,61239425.0
31543199.1666667,22834821.0
5933775129.0,3933743623.33333
234363664.5,221680858.333333
362562398.333333,247729108.5
13505139.0,8736606.66666667
342656492.833333,155843984.166667
,
400566784.833333,294363369.5
95304400.0,81761674.3333333
150687631.833333,100962854.833333
17557151.3333333,14061186.6666667
529922892.0,397012258.666667
950583484.666667,618925338.833333
4198630846.5,3063830496.16667
43393026.6666667,33355180.25
,
,
119275118.5,79793425.6666667
2693926167.33333,2212206376.66667
36893728.8333333,18420741.75
889695609.166667,737186007.333333
6877529.83333333,9528797.0
638854113.5,442124766.166667
36475430.4,7075448.0
1578768694.16667,950009798.833333
,
11269344.6666667,8883666.83333333
39064501.8333333,23563139.8333333
26130364.5,17508984.5
9047442.0,7421603.8
26451035.0,24677994.8
33955657.0,17119172.5
,16463807.0
79621342.5,57410413.5
49028284.5,27634690.8333333
,
118371099.833333,65822024.8333333
166567769.166667,149162957.5
159890268.833333,120336404.333333
,
,7581980.0
220683144.333333,154274071.5
3676970022.5,2865463893.33333
900667453.166667,561850844.166667
953701884.166667,711099136.0
679380217.333333,444049089.166667
78715074.3333333,59250897.1666667
,
8089089.0,11537259.6666667
116294378.5,100943037.5
82079878.1666667,57519802.1666667
104247240.333333,73855867.8333333
234668134.0,176540396.333333
51710747.4,10430484.75
179375994.833333,161411356.0
0.0,
,9163382.0
32883299.8333333,25775696.5
89367281.3333333,30163278.6666667
588311677.333333,428648675.166667
751329949.5,421078676.666667
59043041.8333333,41408329.1666667
18745096.2,10745388.0
277707204.166667,227796176.833333
,6369093.66666667
31322955.3333333,22353131.0
160055342.5,118621202.833333
6739525.0,4734250.0
17873979.8,10848396.5
,
26265941.8333333,15051339.2
12823466.1666667,5939245.25
228116714.5,176048937.0
167499446.166667,112156282.5
,23499650.0
36841735.6666667,21656891.8333333
559714847.666667,346437488.0
,
477065102.666667,312574507.333333
859902193.0,574448204.666667
1098801044.83333,771151899.833333
23275152.8333333,38355160.0
205079534.666667,143462851.333333
156466368.0,98840914.6666667
892784310.166667,991287877.5
125007868.0,77727030.3333333
320724314.0,188630509.5
623943590.333333,622251560.833333
48816766.0,25877206.6666667
11183570.3333333,5953855.6
,
28414833.3333333,
429231053.333333,544969717.333333
273498699.833333,195295624.333333
1986163813.66667,946196186.833333
7771585.0,10760675.5
7265577774.0,5120327672.83333
114875859.2,40163116.0
89241824.8333333,57664199.0
57315095.0,40764699.6666667
78035649.6666667,33874507.8333333
1517116792.0,1270947940.33333
98508182.0,91023989.6666667
,4894567.0
9512802.0,0.0
802654777.833334,578351897.333333
54682286.6666667,35867788.5
900054402.333333,797704846.0
9349241.0,9740666.0
364952743.666667,245480704.666667
36228736.8,33186606.3333333
3557509841.5,2098311093.83333
,7715892.0
,57119318.2
401259891.166667,275929589.666667
245925634.5,152501270.0
1180832306.83333,825903457.833334
605100722.0,432085216.666667
358086008.5,243745022.333333
633317299.166667,459599346.166667
54112136.3333333,44534534.8333333
0.0,0.0
325957377.5,214120998.666667
14313358.1666667,11145681.5
77814452.0,82437871.5
2214798942.0,1671070314.33333
1542625453.83333,1082312434.66667
1573990841.83333,1206013243.83333
18297394.8333333,18606604.0
241678778.166667,135957091.5
10460628.8333333,10230346.8
,
7274661.33333333,
10664312.4,10157093.5
22761090.6666667,16376374.5
95037690.0,
72650441.2,58190457.1666667
34086692.1666667,10795570.1666667
400060977.833333,288202750.833333
65583288.6666667,34687751.8333333
486484248.333333,366218120.166667
59444287.8333333,42554515.6666667
893572636.333333,514524352.166667
222227719.0,172970848.166667
160009704.0,103263503.0
0.0,16855850.5
37612379.8333333,35195809.1666667
7189252.66666667,3190060.33333333
,0.0
