GSK2879552,Iadademstat,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat
19817772.25,118150189.0,0.0,36972472.3333333,,16020173.0,25827023.0
8978713.0,6925822.0,,43597377.0,12935688.25,13685086.0,23577670.0
68975547.1666667,68977495.8333333,65567627.6666667,63478348.8333333,92394581.5,71528859.0,66462963.8333333
,16144510.0,22571254.5,14592436.0,25945619.0,,17284913.0
,6494259.0,0.0,0.0,,0.0,
11418211.6666667,14059711.1666667,10090767.6666667,10431672.1666667,18514570.0,12779388.0,12331227.75
10620084.0,30930767.0,15058945.0,,,32667158.0,
5642776.25,,11732613.25,,6294711.5,7934752.0,8889198.5
66422751.3333333,91412017.8333333,63322125.1666667,74252294.1666667,105513340.0,87845381.6666667,77860811.6666667
14121051.5,,11363756.0,0.0,19342236.6666667,14610429.6666667,
,,,,,,
41896893.3333333,54856887.1666667,61191148.8333333,37760887.1666667,72356280.1666667,61431827.0,45897952.6666667
4385697997.83333,4179713279.33333,3021325281.66667,3484079947.0,5631251008.83333,4745758139.0,3793620752.66667
5514930.0,6658916.0,5542674.66666667,,6015838.66666667,5476893.0,
71689321.6666667,54339177.1666667,20324024.4,61989969.3333333,68821584.2,52036120.0,68505307.6
16474280.0,0.0,32394911.0,0.0,0.0,63791451.0,67308271.6
155724002.666667,166259123.833333,158956569.5,140030593.333333,190527700.666667,169215726.0,141949784.833333
3813334.0,4312219.5,4440096.16666667,,8258018.75,7701356.0,5083903.0
57145333.5,57719248.3333333,48789154.3333333,42887335.1666667,68143813.3333333,63143090.5,44905523.8333333
,,,,,,3629279.0
,0.0,5160713.0,6108437.33333333,5694720.2,1982641.33333333,2845285.25
70331702.6666667,111847124.166667,41983622.8333333,83406666.8333333,86827072.8333333,69314414.6666667,90481840.1666667
,17339255.0,,0.0,,,
12589658.8333333,11071826.0,27953306.3333333,,10822095.0,14724125.0,13593891.0
28112072.8333333,64703100.8333333,24510055.6,55772597.0,52603817.6666667,42110743.0,63084986.3333333
11742319.0,23965925.3333333,,27564857.1666667,19533245.75,17971771.0,
1084254402.66667,1204270305.0,1217998738.33333,1050950389.83333,1382155445.66667,1110607059.66667,1019671840.83333
,17925105.8333333,9707354.66666667,16339228.75,13550645.3333333,16481553.3333333,14002784.4
499218968.0,572810007.833333,393458662.166667,440300329.166667,667528363.5,573353328.5,453595035.333333
2010912.75,,7604291.25,8890937.25,5736889.33333333,5194388.66666667,9108694.0
1063396188.5,1036892021.0,1292795297.83333,672962063.166667,1063702557.5,964148470.666667,777728749.833333
1707091239.16667,1828187847.16667,1421057839.33333,2212062844.66667,2572574676.0,2418556799.0,2217601824.5
1586568993.83333,1914176748.83333,2604760966.83333,1221880848.5,1981159575.66667,1663936135.66667,1428208994.0
14532340.0,21350748.6,26636609.75,13527325.4,19317207.0,15801449.0,13508142.0
406583307.666667,401098388.666667,441904831.833333,300389117.833333,500365470.166667,464307200.333333,294844628.166667
77699018.6666667,94150498.6666667,73035618.6666667,75944466.6666667,101388956.833333,92046420.1666667,85483403.5
1747162626.5,2127876562.83333,1840842772.16667,1994327937.33333,2559746276.66667,2311689430.16667,2124433317.16667
284662454.833333,338300279.166667,297810826.833333,252638271.5,467464958.166667,419616916.5,283767155.833333
,,10847552.75,,5877746.66666667,3277301.0,0.0
61863109.6666667,73606226.6666667,40220208.5,53772968.3333333,73232280.8333333,49725589.6666667,67403866.3333333
