Selisistat,SRT2104
1320864651.33333,2512233547.5
,
993924292.5,943542834.0
1192300468.16667,1147431925.0
154773872.666667,294909730.0
44614709.6666667,51191504.6666667
3863992.0,4717261.25
28617973.2,2197855.0
18981309.2,30855714.6666667
101095134.2,15820656.8
89769464.8333333,76431721.8333333
0.0,6323744.4
322627423.666667,287347030.833333
0.0,9229175.4
77332052.1666667,63638579.8333333
0.0,
206936666.666667,222821666.666667
1135434244.33333,760290067.5
,41856987.0
190726344.833333,142782368.0
474839583.5,166790181.666667
22691962.8333333,16556319.8333333
26730487.3333333,42889078.5
,
31749260.0,37497783.1666667
54734355.0,51588425.8333333
477404350.333333,380414571.166667
62596496.8333333,73187603.0
360248606.333333,
310230816.333333,344186125.0
2501020541.83333,1813410099.33333
2807251534.16667,2363283497.66667
37199455.8333333,40906559.6666667
,4105260.5
0.0,11975277.5
,2897039.0
21670057.5,15877336.8
603207977.833333,632646269.166667
19088148.8,19394743.3333333
24603793.0,30073330.0
875379282.333334,873278249.5
65189417.8333333,28964917.6666667
32723561.8333333,36263551.0
61776419.0,38656970.6666667
,
68353168.8333333,65051047.0
476435174.333333,369946519.666667
59069475.0,38868546.1666667
1109113586.66667,884979724.5
,0.0
,
64572368.0,47099329.0
11606520.0,
31675569.8333333,25378600.0
214648288.833333,158705547.0
42591674.0,21869600.1666667
1483859292.16667,712020775.333333
344784021.0,331751967.666667
43692251.4,40915672.8
12330192.0,9074783.83333333
215615730.833333,129565529.833333
1175047895.66667,1739157582.5
12903801.1666667,11120837.5
,
24645000.0,
2645160.0,0.0
443182096.833333,277313879.833333
0.0,
7346749.5,5327626.33333333
91575440.1666667,61909750.5
18153050.1666667,7778463.0
45285357.8333333,49006377.8333333
1028127675.33333,768867787.333333
103769835.333333,65458795.8333333
35259689.3333333,38426415.0
87608669.0,47482401.8333333
14536137.8,12330606.0
52925358.75,55103785.8333333
675874249.833333,514950396.5
,5286686.66666667
14392973.75,
28805949.0,16668932.3333333
119285131.833333,68108655.1666667
6590631.0,11960477.0
5513366.0,4389574.0
26226277.6666667,20193488.6666667
11837483.0,
54698303.6666667,44551951.3333333
29717058.5,25575559.8333333
0.0,46770288.5
105707002.833333,76693408.8333333
44876910.5,33612498.5
37881291.8333333,22499287.5
536880117.833333,471585534.5
2112400204.83333,2404623065.0
941429377.0,809874035.833333
278887815.0,248482493.166667
13222164.0,16799523.0
106308813.333333,84041428.0
138659661.333333,134140197.0
18547543.0,12174290.0
753917392.666667,831145918.5
76990564.8333333,70208548.3333333
,15709238.5
575215601.5,582784375.333333
39373543.8,29065592.6666667
269373709.333333,216261823.666667
,
1271777152.83333,2172448413.66667
833732843.666667,818065405.833333
0.0,6590640.2
30778383.1666667,30966212.0
,3712258.0
9385785.5,10823538.8333333
21242454.6,19452106.3333333
7675516.75,8112623.5
37822657.6666667,99493372.4
102082014.333333,105185033.166667
55423114.0,67377010.8333333
131437864.0,145246018.333333
15467697.0,26860347.3333333
75536529.6666667,55767497.8333333
11435383.0,6096331.0
232774421.0,446163727.166667
2242968611.33333,2636483986.16667
217757577.833333,316397149.166667
18826519.8,20783402.6666667
171865927.833333,94717630.6666667
2233441314.83333,2828912851.5
154123599.166667,100934682.333333
127616112.166667,82614941.0
36730437.0,70285716.1666667
