5-Azacytidine,Decitabine,5-Fluoro-2'-deoxycytidine,Gemcitabine,Methotrexate,Actinomycin D,5-Fluorouracil,Pemetrexed,Cisplatin,Carboplatin,Oxaliplatin,Doxorubicin,Cyclophosphamide
10865818.0,11038009.4,15076928.6666667,15076928.6666667,19674581.75,12153145.6666667,10543481.0,9650726.33333333,10865818.0,19674581.75,10865818.0,9650726.33333333,12153145.6666667
17431304.1666667,14917953.1666667,18136335.3333333,18136335.3333333,16327775.1666667,15008538.0,16603389.8333333,11367154.6666667,17431304.1666667,16327775.1666667,17431304.1666667,11367154.6666667,15008538.0
,5220489.5,7306996.0,7306996.0,,0.0,,,0.0,,,,
21369380.5,18899001.1666667,24903917.3333333,24903917.3333333,34274609.1666667,21182083.6666667,17338392.5,20569927.25,21369380.5,34274609.1666667,21369380.5,20569927.25,21182083.6666667
139726442.333333,173418067.5,188230174.666667,188230174.666667,215994828.0,184985034.0,135840031.666667,223537775.333333,139726442.333333,215994828.0,139726442.333333,223537775.333333,184985034.0
,,,,,,,,,,,,
33617827.0,15517776.5,36365977.3333333,36365977.3333333,34146623.5,16104802.8333333,28180680.2,18874971.5,33617827.0,34146623.5,33617827.0,18874971.5,16104802.8333333
58080548.0,7766082.2,2769679.0,,6887952.0,6667806.66666667,15555514.0,,58080548.0,6887952.0,58080548.0,0.0,6667806.66666667
,1582478.0,,,,,,,2317150.5,1716501.0,,,
6887965.5,7051711.16666667,8906802.75,8906802.75,10742481.3333333,9995438.66666667,9466519.4,7867405.75,6887965.5,10742481.3333333,6887965.5,7867405.75,9995438.66666667
365752344.5,347070800.0,428566237.5,428566237.5,427049668.5,383132436.5,351743014.833333,397046670.0,365752344.5,427049668.5,365752344.5,397046670.0,383132436.5
19612037.6666667,12574548.1666667,18372977.3333333,18372977.3333333,18976838.5,18808087.6666667,15419373.8,20273705.1666667,19612037.6666667,18976838.5,19612037.6666667,20273705.1666667,18808087.6666667
,,,,,6703529.5,,7740102.5,,,0.0,7740102.5,
,5834726.0,,0.0,,5561117.66666667,2004720.0,0.0,0.0,,,,
26812220.8333333,15487413.8333333,17910153.5,17910153.5,27251139.5,16672591.6666667,27080532.6,29229327.5,26812220.8333333,27251139.5,26812220.8333333,29229327.5,16672591.6666667
,21893325.5,19174667.3333333,19174667.3333333,17290315.0,24099291.2,24893825.0,28730187.0,,17290315.0,0.0,28730187.0,24099291.2
9599571.2,12856147.8333333,16386028.25,16386028.25,14124420.0,12661894.0,9329761.83333333,14862729.1666667,9599571.2,14124420.0,9599571.2,14862729.1666667,12661894.0
,0.0,,608503907.0,425093407.0,540178296.0,,,,425093407.0,,,
19935155.4,26862504.8333333,23699097.5,23699097.5,23074260.3333333,19912676.1666667,19853522.0,12974924.0,19935155.4,23074260.3333333,19935155.4,12974924.0,19912676.1666667
214038180.833333,235697296.333333,261617467.5,261617467.5,254623429.333333,248170034.166667,214956576.0,212542347.666667,214038180.833333,254623429.333333,214038180.833333,212542347.666667,248170034.166667
267159869.5,282370258.833333,353263592.0,353263592.0,386715436.666667,352721679.833333,247923063.5,409007142.833333,267159869.5,386715436.666667,267159869.5,409007142.833333,352721679.833333
7235848.5,5792338.16666667,7926957.33333333,7926957.33333333,,6838398.0,8055690.4,4495965.5,7235848.5,9295369.0,,4495965.5,
14360983.6666667,16985866.8333333,11976260.6666667,11976260.6666667,15898371.1666667,11863445.1666667,12048518.5,9216907.33333333,14360983.6666667,15898371.1666667,14360983.6666667,9216907.33333333,11863445.1666667
17374293.1666667,20103208.0,17910126.6666667,17910126.6666667,20352229.3333333,16020893.6666667,16024116.6666667,13480287.1666667,17374293.1666667,20352229.3333333,17374293.1666667,13480287.1666667,16020893.6666667
11402368.0,5531027.33333333,7129015.75,7129015.75,6289548.0,6102722.0,6429787.0,2546923.5,11402368.0,6289548.0,11402368.0,2546923.5,6102722.0
0.0,2065039.5,0.0,,,,7080117.0,4644261.0,0.0,9100143.0,0.0,4644261.0,
0.0,9325712.0,3346378.0,,0.0,2256687.0,265908619.5,1482787.66666667,,0.0,,1482787.66666667,
,3121552.0,15949589.0,15949589.0,13660622.0,3849513.33333333,6814897.0,,10124019.0,,10124019.0,,3849513.33333333
