VHL ligand 1,Nutlin-3,Serdemetan,VH298
20241702.5,20241702.5,21670057.5,20583768.6666667
528942095.666667,528942095.666667,603207977.833333,498462529.0
13038732.0,13038732.0,19088148.8,15561289.0
30215870.5,30215870.5,24603793.0,31612448.1666667
926177260.333333,926177260.333333,875379282.333334,958898228.166667
38322001.8333333,38322001.8333333,65189417.8333333,46350977.6666667
38776945.3333333,38776945.3333333,32723561.8333333,35095578.6666667
39046814.8333333,39046814.8333333,61776419.0,58865262.6666667
,,,0.0
56303501.1666667,56303501.1666667,68353168.8333333,65837202.3333333
345715711.5,345715711.5,476435174.333333,406669474.666667
30361966.6,30361966.6,59069475.0,48056848.5
900585791.0,900585791.0,1109113586.66667,944418499.166667
35926090.5,,,
10668400.0,10668400.0,,
44084653.5,44084653.5,64572368.0,61187277.6666667
0.0,0.0,11606520.0,7392690.0
33919827.8333333,33919827.8333333,31675569.8333333,33390909.1666667
177408110.666667,177408110.666667,214648288.833333,172782278.666667
26641793.6666667,26641793.6666667,42591674.0,40095814.1666667
893525575.666667,893525575.666667,1483859292.16667,1150564067.66667
246890060.5,246890060.5,344784021.0,307735549.666667
35067583.0,35067583.0,43692251.4,
6276514.16666667,6276514.16666667,12330192.0,10271982.3333333
145947113.333333,145947113.333333,215615730.833333,216831300.666667
1261204920.5,1261204920.5,1175047895.66667,1354850248.5
9948038.33333333,9948038.33333333,12903801.1666667,10845768.1666667
,,0.0,
9135866.66666667,9135866.66666667,24645000.0,24017000.0
1906700.66666667,1906700.66666667,,
362329857.333333,362329857.333333,443182096.833333,386382656.5
15890990.1666667,15890990.1666667,,28480663.3333333
4712258.16666667,4712258.16666667,7346749.5,4553186.33333333
56362466.0,56362466.0,91575440.1666667,79331692.8333333
13237122.6,13237122.6,18153050.1666667,12745000.5
47659880.8333333,47659880.8333333,45285357.8333333,52941607.5
714122512.0,714122512.0,1028127675.33333,872095236.666667
70739241.8333333,70739241.8333333,103769835.333333,84704995.0
50058801.8333333,50058801.8333333,35259689.3333333,52906097.8333333
44808260.6666667,44808260.6666667,87608669.0,77488934.5
9068317.33333333,9068317.33333333,14536137.8,10383977.5
40453161.3333333,40453161.3333333,52925358.75,50960385.3333333
579477299.5,579477299.5,675874249.833333,577379383.5
12471114.0,12471114.0,,
6154996.0,6154996.0,14392973.75,10183409.0
25635899.0,25635899.0,28805949.0,25285155.3333333
85788370.6666667,85788370.6666667,119285131.833333,82525705.3333333
3391925.0,,6590631.0,
6632208.0,6632208.0,5513366.0,
,,26226277.6666667,30660888.0
8403056.4,8403056.4,11837483.0,14633099.0
39361000.8333333,39361000.8333333,54698303.6666667,48297852.6666667
30692113.1666667,30692113.1666667,29717058.5,26220102.0
75682549.25,75682549.25,0.0,63550714.6666667
64564815.0,64564815.0,105707002.833333,92625807.6666667
40908353.6666667,40908353.6666667,44876910.5,44612556.3333333
31856876.0,31856876.0,37881291.8333333,29928880.0
331703008.833333,331703008.833333,536880117.833333,636523909.833333
1878424424.0,1878424424.0,2112400204.83333,2149790582.66667
883486410.333333,883486410.333333,941429377.0,1072973039.83333
271523386.166667,271523386.166667,278887815.0,291381869.5
13823174.0,13823174.0,13222164.0,14220505.0
98591694.6666667,98591694.6666667,106308813.333333,113586469.333333
145321637.833333,145321637.833333,138659661.333333,133479190.333333
14222847.8333333,14222847.8333333,18547543.0,16456208.0
671300935.166667,671300935.166667,753917392.666667,676742457.333333
61957434.5,61957434.5,76990564.8333333,58081690.3333333
,24884769.0,25364560.0,0.0
432288373.666667,432288373.666667,575215601.5,446843191.333333
27340686.6666667,27340686.6666667,39373543.8,35484581.6666667
206789927.5,206789927.5,269373709.333333,239832128.5
,,,3604987.0
1247132954.16667,1247132954.16667,1271777152.83333,1482772289.0
662787773.5,662787773.5,833732843.666667,776996886.5
10318298.6666667,10318298.6666667,,4860844.0
33106608.0,33106608.0,30778383.1666667,33840412.3333333
,,0.0,
8813720.66666667,8813720.66666667,9385785.5,11499030.4
24908570.1666667,24908570.1666667,21242454.6,24674261.6666667
0.0,0.0,7675516.75,10560024.0
43293507.8333333,43293507.8333333,37822657.6666667,52585357.5
91418534.5,91418534.5,102082014.333333,82117940.3333333
62144055.5,62144055.5,55423114.0,49174101.6666667
119210349.0,119210349.0,131437864.0,125012286.666667
8987556.0,8987556.0,15467697.0,18892611.6666667
79814551.8333333,79814551.8333333,75536529.6666667,79887848.5
,,11435383.0,8488162.0
289344279.666667,289344279.666667,232774421.0,313584701.166667
2050935538.5,2050935538.5,2242968611.33333,2199409689.33333
214562695.5,214562695.5,217757577.833333,263532346.0
17649684.6666667,17649684.6666667,18826519.8,19577929.5
162770544.666667,162770544.666667,171865927.833333,155199878.5
2316505507.66667,2316505507.66667,2233441314.83333,2924250060.5
89619155.8333333,,154123599.166667,126100730.0
107451749.333333,107451749.333333,127616112.166667,101157673.5
