(+)-JQ-1,Bromosporine,Molibresib,Apabetalone
110.960406047824,1822.70100044159,,
3.3052318712524,1921.10239890765,1903.59709907588,10.2067639028208
1520.8370392974,7523.16209747923,60.4022021270343,
4186.59464272682,371.310895608791,2.7149318424149,585.866498240329
17.4306298021741,,,88.4093074054673
,1515.60950914113,1011.59563826099,2005.08420350789
322.696393876999,348.775319743177,135.975834510304,6786.55836638134
711.974004551167,0.1134993712781,,0.1134993712781
16.3128018313071,9900.30313121357,346.918092619845,
0.0105402958458,,,
12.8490131093126,,760.032305380501,424.030443684477
13.5325203445,,6.5889205151357,
,3.9676142261862,357.216237361823,1984.57103112124
197.729830398403,594.058320280465,99.9066147542834,166.2962791276
1023.32629375716,1523.40606549229,19.2466952620482,
261.815506934693,0.0116120716269,490.746685749868,
3.0465877239748,0.0175436304122,1065.31787331987,6.8525875562087
,,17.7720256237341,
2.9465368179593,2.6242130794784,3684.4882578486304,4.3665856529341
3401.53656144682,,10.5501179077954,0.9991845842298
13.9571601255317,,2119.13410419171,
291.147966689683,84.6622439942029,,
3259.03484240823,2.4836485693518,114.228309019362,530.830413384467
327.585678658882,,446.985171243217,
0.1134993712781,,,717.703756067143
4785.27452528911,67.0962501189498,,0.6395110429252
0.6451335907598,134.787160136494,28.4747398330628,701.227713268113
325.187133332739,497.117312402747,,
3.8364796295083,,19.7530748160146,
,2839.83739138499,,273.693448104227
253.585865622087,237.828971264199,3223.18301911648,
3.8683828448888,1507.4211349897,4.4706100115623,
,0.8637183977725,107.630942839336,95.9851749327565
,3.6076395124483,4.9358452356014,525.569817309006
68.0835105142923,,9.3881497314921,
44.5596578884417,509.033489258193,1.5865790417693,155.66807413295
0.1134993712781,234.647831920095,,
3.1184028229388,882.362853140259,279.269911699729,735.519679651136
38.144688028022,228.624195071115,190.050347500565,939.50444156945
,37.8824914471088,1735.12748326191,
9.8530709679766,,1027.32938411044,2207.12716483804
786.899396489846,2033.00773549306,404.423574552191,
1.144209494767,,,
1844.23743455198,11.3137593685893,,3035.64496315572
,,,
,,525.569817309006,
1195.81795042264,181.380929711367,5652.85769121888,
,677.457348842434,,
3.6985716770928,3248.68512050935,1244.38580817872,1377.75077422778
,4.314720985068,552.304406603451,1185.89262720047
100.214643722605,,,
3585.46591733909,749.747095466343,1670.46718310748,0.0963857902443
259.572854116636,1881.37062132469,694.272837423169,3206.33602482682
20.0988879386416,1135.48334533501,99.434319916515,
668.45806318346,1601.44851820916,250.067614918204,5.7983899161692
,,2183.03852017255,725.481123503708
5442.9163687102,0.3737450251568,7724.679322448819,4185.39177221488
0.724107866552,1882.909961488,930.42863410529,
59.3559077139332,7643.64316939888,1648.17795958062,4431.097432405591
357.370872134976,,2.2696400057509,
,359.862408567663,393.447947490852,
435.098228597336,139.339582839772,,
175.336877981125,,78.137209003016,
2802.32801033568,264.822599833108,20.4923277092298,
3635.99092523583,675.985675391548,1426.88304572621,
447.710346394758,617.569791297109,,989.544930122794
1345.5737245183,1170.85414753436,1094.51766010606,
329.051212173277,733.427437862436,,
3.9518969752947,81.4965000495527,1486.6757873046,94.4909373306419
264.642162657393,8435.92991714295,3.5776343533159,142.023683234313
37.7369268080609,917.705987501153,,
242.491055085926,1025.81265181006,2.6466233854934,
5177.3174226007695,6.414462854559,57.8045767911724,
5364.74268421166,,4833.01891596342,1806.55722732795
872.685460857388,3578.81431086307,543.380157986161,0.0967317843272
292.52152211844,1.32563253756,6549.80217015888,859.770417739387
9590.671414501901,472.507596913651,1962.84416503017,6.2100468237396
0.1241377589582,285.063194961587,302.459017561248,235.730974111982
3836.80964440614,0.0239954951895,1303.05507519177,
117.890635266163,,,478.494222802285
,32.1621571571564,,618.752961502568
94.9422088916393,2.9508951365386,64.2794971975239,
,,4537.998539513351,258.922952310548
0.1134993712781,,711.566352712602,
150.694760131108,30.5517385646138,,2425.45721775727
395.860229700383,,319.031394252654,774.796571351015
28.8826293914913,70.4667686764047,,2443.02867832899
,,9266.29314078944,2.3886200475539
8.3277104875385,649.956720203278,26.8372639930926,722.336509906828
45.8485507727986,1091.58447335903,2.8329560344173,326.765409372384
23.2380658777654,0.9570476979025,83.8471718638363,271.894397780964
398.359568340083,0.401651991999,1319.63725454864,55.6357962020448
141.099251156563,797.688786916392,,708.209922301629
496.119820471117,,,
121.435625722343,687.215685528436,3546.19685646055,828.808625069061
,,874.458349309773,670.806480895223
974.090673692223,,,
,622.874179388807,,4.7115203059752
3.0183689240427,1894.04047130484,0.890336473553,
4.4229547776134,,14.8381517544646,
298.970637338479,,98.8303008882444,
,668.25017859822,,441.887988874965
,,4804.93199581572,380.52094160211
306.414347832163,0.6345036373309,2633.3157023138,823.315329628731
32.060494795123,,721.084549873786,
80.2106542456916,32.2853191015692,,0.3371937217266
4.5553810221977,,0.0142828816804,4977.5674114589
291.032312780843,2326.26222093638,37.0653875686479,
0.1433078969351,4137.41931380879,1105.54216986042,0.71046741094
3.2951889645318,0.6503723756,31.9230266695933,1209.68426831864
3.5158582003304,849.443629541415,55.0815800863839,
4.4006139175721,8493.52457597458,300.884705720414,2063.20705181674
1376.35412143416,0.0221493269581,84.8551284757331,330.672206346838
344.894626412854,,36.8225991891632,
32.4761077861609,4617.97802032186,4.308288092438,3701.3757427870096
1.6697581983999,22.266137067482,,234.647831920095
212.978288046752,185.657462069724,6.136147214473,3269.45314560081
,7532.89099372672,,
30.9914720726615,650.774712639811,287.505293253744,332.036139962697
4461.850076113689,1048.57896742618,92.4097842455783,599.203157676273
5.9799555215481,294.253077565896,,12.3185275562466
2576.93732042388,47.2992710500831,29.5478162721001,3.6593118489154
223.849555299917,955.907569922526,7.9736132658259,2068.21833816727
4780.245110606311,460.771734677021,141.271533330435,
,,,
525.569817309006,1832.0929369581,395.460724415597,1467.12893620572
4.925345305268,668.877614755583,31.7605435707202,
269.252007890862,921.821594212129,109.42613730602,
672.111583149886,,523.128793458213,3904.13502595677
14.5128038788654,4.2386290473288,676.412363674123,76.5972457451366
115.246024662794,0.0330012787255,2786.95560587951,
2.2356370051727,,338.930483176624,1244.84600956411
2438.08594896541,3.3509826798603,63.5241360428766,822.826514546276
164.227291514072,695.569297856053,,276.479486114321
118.111417505207,798.009200685428,122.819963161566,
87.6939632995732,857.405954030842,,318.022889915401
4432.72794286456,2004.69381597321,,688.369676531045
0.0929283513919,,7532.89099372672,
1289.05419337623,2.2456767301334,3.3014551126304,590.408058220662
36.1759075144953,64.2590761058981,102.423424649431,4104.118129588351
2.9377533594939,,1939.01698144483,
2952.7313983044,4.4769726840946,661.942267600945,0.3790308225563
4.253784596771,,4.5251103560587,
359.413152505374,,7.3652313027999,687.904482482468
291.167591155385,584.388066843111,251.62690113153,
260.838646931255,480.005987495214,2.9813958662024,3626.2565283826098
,917.647344313336,8881.520188600929,467.582747131578
,0.1134993712781,,7532.89099372672
,939.414109314957,497.362198822102,
410.070463813321,,10.226256877808,
0.895576570688,26.2136901152249,395.400523538479,
322.279321285495,633.24280725772,3.2046799560195,3550.25782948522
0.0221993128224,1328.72973044398,1894.37425454025,
517.383132096205,8249.55361837899,,
1638.68822733048,2085.29433351168,2.2469640423088,7.5741039118243
312.278478938355,1.2618354677636,,2283.15345795319
4516.34384333063,4.925345305268,,4.925345305268
,293.03395621207,1899.53243191007,544.172363242157
35.9517075048569,2945.39050614149,898.221675211016,
1.4090901290117,150.267502745145,185.266017946315,569.014335868192
927.680626243081,,358.579550812375,
1248.1720398265,1002.53745892507,1010.90892137163,11.8267766961044
3.2276910964784,851.257411937889,51.1682428629707,1.6102959869202
,525.569817309006,,
3.2472703674455,2.5863317013093,52.4694886875311,5459.981864788911
69.3168838201201,177.404397049944,4040.93710031508,
,,9483.31505679221,
89.011337697034,2.5905251119095,294.150335906333,1071.06677113531
359.217936501952,1782.53998732483,5.7802903054021,
31.0995709193109,1119.27019075723,133.150182426189,
,,1950.7232295212,7532.89099372672
0.152569716349,0.1134993712781,,
2856.90760120339,,181.94909767629,
,445.701244600768,50.8074539664152,
1696.93671075879,0.586533721555,9.1185623347183,1103.6241363462
12.1244669986586,791.614316220118,89.9282056609526,
,,2143.03436168089,
7233.344911850129,916.807807511355,617.442779963368,1950.10924427726
,,,
38.3008140341927,11.1571318399442,,4.1529920964673
,2983.12323467853,8.754538832132,
1962.69543803305,330.866968552681,111.974417396929,392.333982378979
4040.7812546206,,22.6035950853295,
12.7646415523927,0.4875976680198,0.0422366610885,1158.90679740004
,,1304.20738823729,
475.876651025423,,1112.55219545209,9.6940873517545
,,,
289.996390928686,,,719.897985409736
,238.379944048102,2010.55600730689,52.8446892539516
3547.16447520459,80.2743575218519,62.1835463173399,
16.4428662464688,292.723010248039,30.3989718974372,37.4420580013003
2389.41600911526,,770.939415945132,523.730770983152
32.623831801414,7661.88146950709,58.4149341249516,9787.55820714911
1970.3050836785,943.533373243118,7264.216572572151,996.301278527623
370.964312525174,639.82208845189,1291.56654479982,
,,308.332246444062,4.925345305268
51.1224476553323,92.2016750984229,12.3522002011848,
2528.09466665014,306.666930495725,293.028914183482,
1670.96665949511,,665.16856201325,1.1519954786007
97.9396718495509,3379.34341682573,,4.3408500869137
503.339302947295,1.1105687173543,,
346.105578155193,,2.7856462687255,2.4294239408822
3.5360577352812,1.9270755978572,15.0198664973514,
37.5111254418521,1916.16521287751,794.144253276825,2.1497543556268
286.883047478006,2637.26198148124,11.989152770098,317.709651852278
0.1433047104855,,642.843637209114,0.5159593037118
49.9957091779385,797.810587077745,5.755380682224,1.0213223354727
,3990.8272785562895,328.64173068203,892.314505877174
48.9874090806697,2616.67645607148,927.099186103421,
,616.263226629485,,1946.05686265861
6.3475144673419,587.623755740822,10.5811985863207,
307.328711862834,,11.602501697309,5.4637858698665
95.4838624978035,326.818805166362,1000.13243956573,11.3721347071504
417.645775614785,1508.0762752376,6046.3795377426895,584.537179536396
36.1097419003273,3014.9262601351,209.738206694199,2.6807715993648
1210.81131525655,,78.1155011669923,
