GSK2879552,Iadademstat,Pinometostat,Tazemetostat,Pemrametostat,Lirametostat,Onametostat
2.299807654,,,,1.3336221092512,25.8882160455303,
,73.753143819509,646.448440073412,971.195441989028,,5511.79031030013,8156.23447036325
1.1993080031263,237.665106051766,289.02211575938,970.679106595071,4.925345305268,713.454103249031,3.1723107056462
3525.07843874346,400.747693422058,5.1182501530018,3.3363824317524,,333.093253562204,1745.30617442038
13.0766861140862,1741.98152880042,98.3797543298651,,7057.6531563529,92.5863263469066,9381.79423115606
303.748145399245,21.3032657233077,4.3306400994339,1.0791308577053,1361.82659144286,1993.77307451559,108.057865855407
,,,,,,0.3663372534429
,234.647831920095,,0.1350711644792,,1.4444510971437,0.3265197998684
0.5107166930853,42.6831614761171,67.4712955962577,829.007885077961,625.516211018232,2517.24484252583,193.807481719492
,,,7532.89099372672,,,
1701.763371705,202.330884539135,1045.07806542585,,8.8885068517544,3711.80560660571,2.5711164409936
497.290262934024,3906.22611838916,1262.73336564599,298.281085742547,2.3057528602671,,8276.2039685313
861.586378160863,1348.27555225714,,303.145406919852,1.2736882452666,1.4236214390926,
1799.83332642746,2.7469677110352,54.4603644720812,1485.80057325149,,2563.72562240837,3.349441362245
,9.7417302516615,2.4654914112758,7.8443471890803,102.396553725782,318.956409862672,
31.9106162454773,31.9456370509545,1775.11117336026,123.603760629956,,,79.1273343549782
301.1815726565,,631.314337463538,,953.491319230554,46.0046336076606,744.077757329665
3069.78444121449,558.566204759104,337.924162720864,43.9123512634,,31.8766007404139,585.042837812674
2271.90301670191,322.717382615096,413.628133025497,1103.81887419936,,,15.1206874408745
29.6582336556806,817.753105750209,7.9928624810178,,1196.03785746948,256.777040889406,3.0466659184086
6.4819827263226,5008.93153901839,3.2360344643912,27.8447428487073,1807.90150240632,36.8488578253742,628.150818295112
3979.53767649286,8917.149885278,107.130870976054,2102.51342801385,912.570442082296,374.791573540798,411.734447111182
107.30375361127,1136.35027108916,283.557598371468,335.550341896046,138.090262133311,,76.6482561922923
5611.7473794161,365.04329277552,3.2535986514498,167.062571883206,,,
2039.53774336738,0.7561536663722,3.2291454386659,0.9471288978655,,,1788.16467014486
,,1602.79001487016,,708.392435783209,12.7506033751295,525.569817309006
1931.11771186168,8.5961186046457,107.364267032801,1483.01623376828,38.2538934086907,2849.59061605323,970.004487236366
,5738.32036669328,586.057705471934,3698.5654272551296,331.979126367552,4961.81982472405,33.5256912450265
3.805464885832,9.8602075582428,1179.08247313197,,,753.968163649126,539.296501978293
239.799227862534,7532.89099372672,,,,0.6448914169876,
191.194003051879,0.7256991721652,862.702813556202,1.7423536063425,,60.1393381331642,25.9258633750818
1957.76512517688,33.0956823911046,682.71988928558,8940.51777591994,,11.3084572648076,160.589838534643
332.178678923881,3793.36273230124,150.908652558605,1.8361951984032,157.359440027391,4.3123176592696,1755.06702389905
,56.5152862508938,152.347617715387,1092.60214045503,,26.5400287699782,386.862934018057
,,,,,,
2999.94618233583,504.772837032818,,5.9519183833022,110.392249291907,57.7744840999235,255.12064653201
916.8921947589,1.2390117702637,80.7358409069241,694.830809143566,,,2.5474477456125
