Paclitaxel,CHM-1,Nocodazole,Colchicine,Vincristine
360267258.0,213461735.5,390798201.166667,360248606.333333,363055960.5
282642713.833333,300296860.666667,306527379.0,310230816.333333,218854272.666667
2284557323.16667,2113693364.33333,2336840876.33333,2501020541.83333,1982195081.33333
2539322812.0,2170889826.0,2858880156.0,2807251534.16667,2160278763.83333
38055990.3333333,32339378.0,33798772.6666667,37199455.8333333,34170925.0
,,,,5127606.4
9552198.0,,,0.0,
,,,2349473.0,2766359.66666667
20583768.6666667,21508027.0,21738142.8,21670057.5,20241702.5
498462529.0,548777365.833333,626722614.0,603207977.833333,528942095.666667
15561289.0,14129194.6666667,17214386.2,19088148.8,13038732.0
31612448.1666667,26704976.1666667,40010167.6666667,24603793.0,30215870.5
958898228.166667,671005831.833333,871118249.333333,875379282.333334,926177260.333333
46350977.6666667,73247741.1666667,40716233.5,65189417.8333333,38322001.8333333
35095578.6666667,21772470.5,,32723561.8333333,38776945.3333333
58865262.6666667,43920237.8333333,37084686.6666667,61776419.0,39046814.8333333
,0.0,,,0.0
65837202.3333333,51174799.1666667,71733804.6666667,68353168.8333333,
406669474.666667,386520432.333333,528839784.833333,476435174.333333,345715711.5
48056848.5,52243911.1666667,32750123.8333333,59069475.0,30361966.6
944418499.166667,903352816.166667,1071989093.5,1109113586.66667,900585791.0
,,,,35926090.5
,,,0.0,10668400.0
61187277.6666667,48735744.6666667,56809058.1666667,64572368.0,44084653.5
7392690.0,8848494.0,,11606520.0,0.0
33390909.1666667,29830498.1666667,37996150.8333333,31675569.8333333,33919827.8333333
172782278.666667,208611770.833333,168072426.833333,214648288.833333,177408110.666667
40095814.1666667,49194260.6666667,30758630.1666667,42591674.0,26641793.6666667
1150564067.66667,1020241128.16667,1046927242.16667,1483859292.16667,893525575.666667
307735549.666667,252786150.0,276834201.333333,344784021.0,246890060.5
40888465.0,45182335.6666667,58881110.2,43692251.4,35067583.0
10271982.3333333,6072709.5,9401391.0,12330192.0,
216831300.666667,207406952.666667,185950817.666667,215615730.833333,145947113.333333
1354850248.5,826423962.5,1323524634.83333,1175047895.66667,1261204920.5
10845768.1666667,5832416.25,11052569.5,12903801.1666667,9948038.33333333
,,,,0.0
24017000.0,37308500.0,22281800.0,24645000.0,9135866.66666667
,,,,1906700.66666667
386382656.5,415806200.166667,384787737.333333,443182096.833333,362329857.333333
,17142435.8,,,15890990.1666667
,,5155817.0,7346749.5,4712258.16666667
79331692.8333333,115839605.166667,78291750.3333333,91575440.1666667,56362466.0
12745000.5,18515048.3333333,12638115.8,18153050.1666667,13237122.6
52941607.5,27559251.8333333,44537340.3333333,45285357.8333333,47659880.8333333
872095236.666667,840504701.5,974732670.833333,1028127675.33333,714122512.0
84704995.0,84760577.3333333,85165872.5,103769835.333333,70739241.8333333
52906097.8333333,48345895.0,54809711.8333333,35259689.3333333,50058801.8333333
77488934.5,102143186.666667,81966330.1666667,87608669.0,44808260.6666667
10383977.5,16053001.2,12817133.2,14536137.8,9068317.33333333
