Thalidomide,Iberdomide,Lenalidomide,Pomalidomide
54605194.8333333,54605194.8333333,49588540.8333333,38889172.1666667
24648417.0,24648417.0,32502492.0,25099657.8333333
56102799.5,56102799.5,,0.0
118217248.333333,118217248.333333,107995335.333333,98409038.3333333
39346831.1666667,39346831.1666667,,41427397.2
20585795.0,20585795.0,29782434.0,20790313.5
445013782.5,445013782.5,605407602.5,431370633.666667
1785561499.5,1785561499.5,2596526788.83333,1990520599.66667
1047603341.83333,1047603341.83333,1202128828.0,1188570721.83333
200276446.833333,200276446.833333,332539334.166667,233463344.5
10090056.4,10090056.4,,25071836.6666667
131597255.0,131597255.0,167270209.8,165985040.5
164136596.5,164136596.5,182923176.333333,161388503.0
14459828.1666667,14459828.1666667,21516034.5,14387023.1666667
649634421.333333,649634421.333333,906649230.0,717511342.333333
55921649.3333333,55921649.3333333,68254948.3333333,45909634.5
,21693939.0,,
466846473.5,466846473.5,521003084.0,440612644.166667
25978905.6666667,25978905.6666667,44381110.8333333,27565731.1666667
212972503.166667,212972503.166667,266664343.5,237746071.166667
,2785323.0,,
790068764.333333,790068764.333333,1267901675.0,958574196.333333
570611703.166667,570611703.166667,867602060.0,627254281.166667
2889793.33333333,2889793.33333333,10110816.3333333,0.0
36834971.2,36834971.2,55346577.3333333,46399109.6
0.0,0.0,,
9709689.5,9709689.5,10420351.4,11287434.0
21566520.1666667,21566520.1666667,27308152.8,29054029.6666667
7973182.0,7973182.0,,8943724.0
64049913.0,64049913.0,60439641.8333333,74132011.6666667
35098029.1666667,35098029.1666667,105519813.166667,46358346.8333333
43782536.6666667,43782536.6666667,79018918.0,46475843.0
163443753.0,163443753.0,129363083.166667,137365440.0
0.0,0.0,0.0,
87522058.5,87522058.5,123874973.833333,74117110.3333333
9211812.0,,7027171.0,6804229.5
116422518.166667,116422518.166667,318330100.666667,133884907.0
1697577459.83333,1697577459.83333,2672177008.16667,1769983738.5
249517626.166667,249517626.166667,401619401.333333,248336670.666667
16575688.6666667,16575688.6666667,24716680.1666667,13958525.0
155806599.0,155806599.0,296241330.0,216512159.166667
2143771939.5,2143771939.5,3414122301.0,2793125867.0
159366266.333333,159366266.333333,157133384.5,157567777.166667
65947503.8,65947503.8,115393300.166667,80158252.6
,96622.0,34188184.5,12558818.3333333
55811701.5,55811701.5,91191877.3333333,67532787.0
64289449.3333333,64289449.3333333,98684568.8333333,72107089.8333333
376488998.0,376488998.0,457616230.166667,415916710.833333
54989698.0,54989698.0,61996966.6666667,53129412.8333333
400205784.166667,400205784.166667,562232794.666667,446345604.333333
3814139.0,,146037743.0,11200912.0
10810035.0,10810035.0,11397082.3333333,7549299.6
2201275451.33333,2201275451.33333,2919514237.16667,2307380384.0
2024432263.0,2024432263.0,2774795893.0,2111875239.0
396100837.333333,396100837.333333,550182639.5,433854820.0
,,5919199.0,2442884.0
36116076.3333333,36116076.3333333,63639500.1666667,36976573.1666667
23684205.6666667,23684205.6666667,20485098.3333333,25864809.0
