(+)-JQ-1,Bromosporine,Molibresib,Apabetalone
8861850.0,14909302.0,0.0,14909302.0
68644907.0,91085118.5,38206143.2,91085118.5
40256600.1666667,64529265.8333333,63931213.8333333,64529265.8333333
,27006263.8,,27006263.8
18549544.4,12464580.0,4248351.5,12464580.0
36526700.8333333,37284677.8333333,32485410.6666667,37284677.8333333
,,,
,,,
22295375.5,,0.0,32949903.0
,,0.0,
25032702.6666667,27319367.3333333,24076786.0,27319367.3333333
6003311.33333333,6145493.0,4526680.0,6145493.0
25130145.6666667,33458287.5,31721752.3333333,33458287.5
29536712.6666667,35430987.6666667,33701429.8,35430987.6666667
7334343.25,13165052.4,9983169.75,13165052.4
19400041.0,,36972472.3333333,63157398.0
11202365.5,12935688.25,43597377.0,12935688.25
58648214.0,92394581.5,63478348.8333333,92394581.5
,25945619.0,,
0.0,,0.0,
14249791.8,18514570.0,10431672.1666667,18514570.0
0.0,0.0,15318364.0,
6733911.75,6294711.5,9195937.33333333,6294711.5
79546929.3333333,105513340.0,74252294.1666667,105513340.0
9419345.25,19342236.6666667,0.0,19342236.6666667
21960968.3333333,,,
59428859.6666667,72356280.1666667,37760887.1666667,72356280.1666667
3933708484.83333,5631251008.83333,3484079947.0,5631251008.83333
5301328.5,,,6015838.66666667
46070569.0,68821584.2,61989969.3333333,68821584.2
0.0,0.0,,0.0
155673485.166667,190527700.666667,140030593.333333,190527700.666667
3267024.4,,,8258018.75
53255708.1666667,68143813.3333333,42887335.1666667,68143813.3333333
,,,
449909.0,5694720.2,6108437.33333333,5694720.2
60079343.8333333,86827072.8333333,83406666.8333333,86827072.8333333
,,,
14148311.0,10822095.0,0.0,10822095.0
60248595.5,52603817.6666667,55772597.0,52603817.6666667
26601448.8333333,19533245.75,27564857.1666667,19533245.75
1147294839.83333,1382155445.66667,1050950389.83333,1382155445.66667
9314702.0,13550645.3333333,16339228.75,13550645.3333333
505103823.166667,667528363.5,440300329.166667,667528363.5
6201750.0,5736889.33333333,8890937.25,5736889.33333333
1157417125.66667,1063702557.5,672962063.166667,1063702557.5
1898116273.0,2572574676.0,2212062844.66667,2572574676.0
1555324628.83333,1981159575.66667,1221880848.5,1981159575.66667
18399990.3333333,19317207.0,13527325.4,19317207.0
429081902.5,500365470.166667,300389117.833333,500365470.166667
115369772.833333,101388956.833333,75944466.6666667,101388956.833333
1935291522.5,2559746276.66667,1994327937.33333,2559746276.66667
310639361.5,467464958.166667,252638271.5,467464958.166667
