PJ34,Olaparib,Talazoparib,Rucaparib,Niraparib,Veliparib
25130145.6666667,26074041.3333333,24442834.3333333,33458287.5,33458287.5,33458287.5
29536712.6666667,29212497.3333333,26917343.6666667,35430987.6666667,35430987.6666667,35430987.6666667
7334343.25,24668821.6666667,10444528.5,13165052.4,13165052.4,13165052.4
,0.0,19817772.25,63157398.0,63157398.0,63157398.0
11202365.5,0.0,8978713.0,12935688.25,12935688.25,12935688.25
58648214.0,65567627.6666667,68975547.1666667,92394581.5,92394581.5,92394581.5
0.0,22571254.5,,,,25945619.0
0.0,,6639718.0,,0.0,
14249791.8,10090767.6666667,11418211.6666667,18514570.0,18514570.0,18514570.0
0.0,15058945.0,10620084.0,,0.0,
6733911.75,11732613.25,5642776.25,6294711.5,6294711.5,6294711.5
79546929.3333333,63322125.1666667,66422751.3333333,105513340.0,105513340.0,105513340.0
9419345.25,11363756.0,14121051.5,19342236.6666667,19342236.6666667,
21960968.3333333,14915776.5,,,,
59428859.6666667,61191148.8333333,41896893.3333333,72356280.1666667,72356280.1666667,72356280.1666667
3933708484.83333,3021325281.66667,4385697997.83333,5631251008.83333,5631251008.83333,5631251008.83333
,5542674.66666667,5514930.0,6015838.66666667,6015838.66666667,6015838.66666667
46070569.0,20324024.4,71689321.6666667,68821584.2,68821584.2,68821584.2
0.0,32394911.0,16474280.0,0.0,0.0,
155673485.166667,158956569.5,155724002.666667,190527700.666667,190527700.666667,190527700.666667
3267024.4,4440096.16666667,3813334.0,8258018.75,8258018.75,8258018.75
53255708.1666667,48789154.3333333,57145333.5,68143813.3333333,68143813.3333333,68143813.3333333
,,,,,
449909.0,,0.0,5694720.2,5694720.2,5694720.2
60079343.8333333,41983622.8333333,70331702.6666667,86827072.8333333,86827072.8333333,86827072.8333333
,,,,,
14148311.0,27953306.3333333,12589658.8333333,10822095.0,10822095.0,10822095.0
60248595.5,24510055.6,28112072.8333333,52603817.6666667,52603817.6666667,52603817.6666667
26601448.8333333,,11742319.0,19533245.75,19533245.75,19533245.75
1147294839.83333,1217998738.33333,1084254402.66667,1382155445.66667,1382155445.66667,1382155445.66667
,9707354.66666667,6307029.0,13550645.3333333,13550645.3333333,13550645.3333333
505103823.166667,393458662.166667,499218968.0,667528363.5,667528363.5,667528363.5
6201750.0,7604291.25,2010912.75,5736889.33333333,5736889.33333333,
1157417125.66667,1292795297.83333,1063396188.5,1063702557.5,1063702557.5,1063702557.5
1898116273.0,1421057839.33333,1707091239.16667,2572574676.0,2572574676.0,2572574676.0
1555324628.83333,2604760966.83333,1586568993.83333,1981159575.66667,1981159575.66667,1981159575.66667
18399990.3333333,26636609.75,14532340.0,19317207.0,19317207.0,19317207.0
429081902.5,441904831.833333,406583307.666667,500365470.166667,500365470.166667,500365470.166667
115369772.833333,73035618.6666667,77699018.6666667,101388956.833333,101388956.833333,101388956.833333
1935291522.5,1840842772.16667,1747162626.5,2559746276.66667,2559746276.66667,2559746276.66667
310639361.5,297810826.833333,284662454.833333,467464958.166667,467464958.166667,467464958.166667
4927934.0,10847552.75,0.0,5877746.66666667,5877746.66666667,
81349922.5,40220208.5,61863109.6666667,73232280.8333333,73232280.8333333,73232280.8333333
75200806.0,81789954.6666667,76295935.1666667,88232867.3333333,88232867.3333333,88232867.3333333
21251208.3333333,25135439.2,21857497.5,35401678.3333333,35401678.3333333,35401678.3333333
0.0,21680304.0,,,106115260.0,
1407397990.16667,1553736411.5,1239091705.33333,1725676575.66667,1725676575.66667,1725676575.66667
304886108.5,287504829.5,294758648.166667,410910706.166667,410910706.166667,410910706.166667
36488853.1666667,43708986.6666667,20946325.1666667,33348691.0,33348691.0,33348691.0
98191063.6666667,270220111.333333,143041802.333333,137091558.333333,137091558.333333,137091558.333333
,0.0,,,,
5612556.0,10557486.5,9446030.6,13168420.6666667,13168420.6666667,13168420.6666667
2416805687.83333,1828274021.0,1933627727.5,2674709214.66667,2674709214.66667,2674709214.66667
1982341916.5,2818282815.16667,2032646229.0,2000321894.0,2000321894.0,2000321894.0
488790218.166667,472784252.5,398565035.666667,476726153.0,476726153.0,476726153.0
346767912.333333,354349475.666667,269007903.666667,298135357.5,298135357.5,298135357.5
69994903.0,80924299.1666667,53289403.3333333,82617938.3333333,82617938.3333333,82617938.3333333
69608195.0,70635910.8333333,88610307.3333333,121095352.666667,121095352.666667,121095352.666667
8561133.33333333,5918850.0,0.0,15161750.0,15161750.0,15161750.0
244680874.166667,149472191.5,250975683.166667,259920342.833333,259920342.833333,259920342.833333
1232419970.83333,1480467026.0,1078640706.66667,1300848127.5,1300848127.5,1300848127.5
100067527.333333,102018918.166667,96079503.0,124137650.333333,124137650.333333,124137650.333333
641961341.333333,622957483.666667,574028700.0,718947911.666667,718947911.666667,718947911.666667
32812380.5,37427780.0,40052362.1666667,51401034.1666667,51401034.1666667,51401034.1666667
14086807.6,6714074.25,10766522.1666667,13217314.8333333,13217314.8333333,13217314.8333333
5611187047.5,6001562769.5,5370313342.16667,5849177827.0,5849177827.0,5849177827.0
1748771132.83333,1619409760.66667,1575909971.66667,2086569563.33333,2086569563.33333,2086569563.33333
25042353.1666667,16253626.2,22164564.3333333,24579385.0,24579385.0,24579385.0
27273184.5,26310696.8333333,30066922.8333333,32698179.8333333,32698179.8333333,32698179.8333333
0.0,22214440.0,,,,
59952541.1666667,48186646.0,56707279.5,77514281.6666667,77514281.6666667,77514281.6666667
135086043.5,99144444.6666667,98997789.8333333,127676304.666667,127676304.666667,127676304.666667
9661903.5,27786616.0,3966552.0,10605195.3333333,10605195.3333333,10605195.3333333
62827837.0,39825808.1666667,46234763.0,202444341.5,202444341.5,202444341.5
15700004.4,10908963.0,9097315.83333333,19429797.5,19429797.5,19429797.5
1498320.0,1895874.0,0.0,,0.0,
6882850.4,5630300.83333333,3827711.25,10102740.0,10102740.0,10102740.0
3856197253.5,4649752639.66667,3738611031.33333,4628445106.0,4628445106.0,4628445106.0
119777380.0,119497072.333333,131429613.333333,143848456.666667,143848456.666667,143848456.666667
25212366.6666667,22352043.8,26284384.3333333,25241875.5,25241875.5,25241875.5
1542031798.33333,2512233547.5,2333626180.5,1891394438.66667,1891394438.66667,1891394438.66667
,8632920.0,0.0,,,
878725411.166667,943542834.0,809138817.833333,1156155731.5,1156155731.5,1156155731.5
1120427168.66667,1147431925.0,1058234081.33333,1393830501.5,1393830501.5,1393830501.5
124837881.833333,294909730.0,141450182.166667,180684869.0,180684869.0,180684869.0
44438537.0,51191504.6666667,30307147.6666667,48128316.3333333,48128316.3333333,48128316.3333333
9823456.0,4717261.25,6227310.33333333,9155727.66666667,9155727.66666667,9155727.66666667
0.0,2197855.0,4862066.0,,0.0,
18241692.0,30855714.6666667,16472401.6666667,21652893.5,21652893.5,21652893.5
13160148.25,15820656.8,8491729.5,12432046.2,12432046.2,12432046.2
70320779.5,76431721.8333333,102447995.833333,118653052.5,118653052.5,118653052.5
11681326.0,6323744.4,,0.0,,0.0
305478653.5,287347030.833333,290349334.166667,392558861.833333,392558861.833333,392558861.833333
10080309.6666667,9229175.4,8247515.0,8219686.0,8219686.0,
31011264.5,63638579.8333333,0.0,41133134.6666667,41133134.6666667,41133134.6666667
0.0,0.0,3315889.0,,,3998138.0
176673333.333333,222821666.666667,261213333.333333,229670000.0,229670000.0,229670000.0
