Entinostat,Mocetinostat,Romidepsin,Tacedinaline,Tucidinostat,Domatinostat,Pracinostat,Quisinostat,Vorinostat,AR-42,Belinostat,Citarinostat,Fimepinostat,Ricolinostat,Panobinostat,Givinostat,Tasquinimod,Nexturastat A,ACY738,Tubastatin A,Trichostatin-A,PCI-34051,ACY775,CHDI00465983,CHDI00390576,TMP195,TMP269,LMK235
19385997.3333333,14731541.0,32897728.3333333,17809544.0,14731541.0,,32897728.3333333,16043432.5,17809544.0,7058094.8,32897728.3333333,19385997.3333333,14731541.0,19385997.3333333,19385997.3333333,14731541.0,19385997.3333333,16043432.5,19385997.3333333,23090905.0,19385997.3333333,7058094.8,7058094.8,6219153.0,7058094.8,14731541.0,6219153.0,14731541.0
14967010.8333333,16836161.5,14875627.0,26855880.2,16836161.5,18396370.8333333,14875627.0,17265678.8333333,26855880.2,13569895.3333333,14875627.0,14967010.8333333,16836161.5,14967010.8333333,14967010.8333333,16836161.5,14967010.8333333,17265678.8333333,14967010.8333333,13207470.6,14967010.8333333,13569895.3333333,13569895.3333333,18396370.8333333,13569895.3333333,16836161.5,18396370.8333333,16836161.5
107258174.5,104566636.666667,81345182.8333333,118916567.5,104566636.666667,98025113.0,81345182.8333333,101205411.833333,118916567.5,91284367.6666667,81345182.8333333,107258174.5,104566636.666667,107258174.5,107258174.5,104566636.666667,107258174.5,101205411.833333,107258174.5,65477307.0,107258174.5,91284367.6666667,91284367.6666667,98025113.0,91284367.6666667,104566636.666667,98025113.0,104566636.666667
28187085.5,24947581.0,,33209892.2,24947581.0,29346784.25,,18524651.5,33209892.2,28911808.0,,28187085.5,24947581.0,28187085.5,28187085.5,24947581.0,,18524651.5,28187085.5,17051200.0,28187085.5,28911808.0,28911808.0,29346784.25,28911808.0,24947581.0,29346784.25,24947581.0
13486012.3333333,6321974.0,7160995.6,9027693.33333333,6321974.0,3930593.25,7160995.6,9593173.5,9027693.33333333,8403894.5,7160995.6,13486012.3333333,6321974.0,13486012.3333333,13486012.3333333,6321974.0,13486012.3333333,9593173.5,13486012.3333333,7470380.8,13486012.3333333,8403894.5,8403894.5,3930593.25,8403894.5,6321974.0,3930593.25,6321974.0
19674581.75,15076928.6666667,10865818.0,15455976.6666667,15076928.6666667,,10865818.0,12153145.6666667,15455976.6666667,11038009.4,10865818.0,19674581.75,15076928.6666667,19674581.75,19674581.75,15076928.6666667,19674581.75,12153145.6666667,19674581.75,10543481.0,19674581.75,11038009.4,11038009.4,9650726.33333333,11038009.4,15076928.6666667,9650726.33333333,15076928.6666667
16327775.1666667,18136335.3333333,17431304.1666667,26631850.5,18136335.3333333,11367154.6666667,17431304.1666667,15008538.0,26631850.5,14917953.1666667,17431304.1666667,16327775.1666667,18136335.3333333,16327775.1666667,16327775.1666667,18136335.3333333,16327775.1666667,15008538.0,16327775.1666667,16603389.8333333,16327775.1666667,14917953.1666667,14917953.1666667,11367154.6666667,14917953.1666667,18136335.3333333,11367154.6666667,18136335.3333333
,7306996.0,,9845701.0,7306996.0,,0.0,,9845701.0,5220489.5,,,7306996.0,,,7306996.0,,0.0,,0.0,,5220489.5,5220489.5,,,,,7306996.0
34274609.1666667,24903917.3333333,21369380.5,32058590.3333333,24903917.3333333,20569927.25,21369380.5,21182083.6666667,32058590.3333333,18899001.1666667,21369380.5,34274609.1666667,24903917.3333333,34274609.1666667,34274609.1666667,24903917.3333333,34274609.1666667,21182083.6666667,34274609.1666667,17338392.5,34274609.1666667,18899001.1666667,18899001.1666667,20569927.25,18899001.1666667,24903917.3333333,20569927.25,24903917.3333333
215994828.0,188230174.666667,139726442.333333,213460236.833333,188230174.666667,223537775.333333,139726442.333333,184985034.0,213460236.833333,173418067.5,139726442.333333,215994828.0,188230174.666667,215994828.0,215994828.0,188230174.666667,215994828.0,184985034.0,215994828.0,135840031.666667,215994828.0,173418067.5,173418067.5,223537775.333333,173418067.5,188230174.666667,223537775.333333,188230174.666667
