Ixazomib,MG-132,Carfilzomib,Bortezomib
14610429.6666667,9419345.25,6435557.5,0.0
,21960968.3333333,,
61431827.0,59428859.6666667,54856887.1666667,37760887.1666667
4745758139.0,3933708484.83333,4179713279.33333,3484079947.0
5476893.0,5301328.5,6658916.0,0.0
52036120.0,46070569.0,54339177.1666667,61989969.3333333
63791451.0,0.0,0.0,0.0
169215726.0,155673485.166667,166259123.833333,140030593.333333
7701356.0,3267024.4,4312219.5,
63143090.5,53255708.1666667,57719248.3333333,42887335.1666667
0.0,,,
1982641.33333333,,0.0,6108437.33333333
69314414.6666667,60079343.8333333,111847124.166667,83406666.8333333
,,17339255.0,
,14148311.0,11071826.0,
42110743.0,60248595.5,64703100.8333333,55772597.0
17971771.0,26601448.8333333,23965925.3333333,27564857.1666667
1110607059.66667,1147294839.83333,1204270305.0,1050950389.83333
16481553.3333333,,17925105.8333333,16339228.75
573353328.5,505103823.166667,572810007.833333,440300329.166667
,6201750.0,6068208.0,8890937.25
964148470.666667,1157417125.66667,1036892021.0,672962063.166667
2418556799.0,1898116273.0,1828187847.16667,2212062844.66667
1663936135.66667,1555324628.83333,1914176748.83333,1221880848.5
15801449.0,18399990.3333333,21350748.6,13527325.4
464307200.333333,429081902.5,401098388.666667,300389117.833333
92046420.1666667,115369772.833333,94150498.6666667,75944466.6666667
2311689430.16667,1935291522.5,2127876562.83333,1994327937.33333
419616916.5,310639361.5,338300279.166667,252638271.5
,,,0.0
49725589.6666667,81349922.5,73606226.6666667,53772968.3333333
85981763.5,75200806.0,97433291.8333333,84590646.1666667
25549038.3333333,21251208.3333333,35321761.5,19339287.0
14867664.0,,0.0,
1604400128.83333,1407397990.16667,1489218293.0,982026025.166667
344126133.166667,304886108.5,279426014.666667,229311802.0
25884630.3333333,36488853.1666667,43851329.3333333,69343259.8333333
117814098.333333,98191063.6666667,91344298.6666667,49553177.3333333
,,,
12077204.5,5612556.0,8347576.2,8995455.2
2203687179.83333,2416805687.83333,2330071178.5,2015846009.0
1738916139.33333,1982341916.5,1825271126.5,1110806765.0
399278673.666667,488790218.166667,443137787.333333,345217352.166667
285120675.333333,346767912.333333,257259692.666667,279222246.333333
68479522.5,69994903.0,80773582.5,62445824.3333333
106978684.5,69608195.0,120161185.166667,92515271.5
8547300.0,8561133.33333333,9468050.0,9878875.0
211040052.666667,244680874.166667,247685577.333333,225061034.166667
